MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	199.87329	Sec	12/31/2019 10:49:14 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
1004.1938	2.5482907	96436.07	-0.027875006	0.0039443374	8
1005.1938	2.5587049	100347.63	-0.028502643	0.0034755468	8
1006.1938	2.5690775	104440.73	-0.029327571	0.0029104948	8
1007.1938	2.5798659	109028.8	-0.030079484	0.0021982193	8
1008.1938	2.5883613	112834.71	-0.03084451	0.0017508864	8
1009.1938	2.5993993	117154.49	-0.031642318	0.0011903048	8
1010.1938	2.6086254	121666.2	-0.032440126	0.00040650368	8
1011.1938	2.6186476	125459.55	-0.032954216	5.0663948e-05	8
1012.1938	2.6293826	130091.51	-0.033809841	-0.00081300735	8
1013.1938	2.6391373	134204.47	-0.034474134	-0.001398921	8
1014.1938	2.6473949	138307.69	-0.035181642	-0.0020718575	8
1015.1938	2.6584508	142744.58	-0.035767555	-0.0028505921	8
1016.1938	2.6686928	146946.09	-0.036377907	-0.0033161044	8
1017.1938	2.6783702	151203.86	-0.036960542	-0.0040432811	8
1018.1938	2.6884696	155807.16	-0.037620366	-0.0047382712	8
1019.1938	2.6986046	160091.91	-0.038235784	-0.0054425001	8
1020.1938	2.7083476	164206.38	-0.038728118	-0.0060936809	8
1021.1938	2.7185597	168618.42	-0.039233565	-0.0066298246	8
1022.1938	2.7286353	172907.86	-0.039712489	-0.0073352456	8
1023.1938	2.7373147	177127.55	-0.040379465	-0.0078392029	8
1024.1938	2.7484834	181636.16	-0.040738583	-0.0086829066	8
1025.1938	2.7574956	185903.5	-0.041400194	-0.0091019273	8
1026.1938	2.7686288	190200.92	-0.042053759	-0.009586513	8
1027.1938	2.7787638	194541.86	-0.042589009	-0.010019243	8
1028.1938	2.7890174	198683.02	-0.043174326	-0.010626614	8
1029.1938	2.7990873	203048.66	-0.043824315	-0.011063814	8
1030.1938	2.8103807	207399.17	-0.044479668	-0.011695921	8
1031.1938	2.8170936	211371	-0.045101643	-0.012194812	8
1032.1938	2.8287911	216125.38	-0.045734644	-0.012698472	8
1033.1938	2.8384864	220262.75	-0.045671165	-0.014143586	8
1034.1938	2.8477957	224318.45	-0.046242476	-0.014627874	8
1035.1938	2.8589051	228874.75	-0.046958029	-0.015034974	8
1036.1938	2.8688381	232870.98	-0.047595501	-0.015612841	8
1037.1938	2.8793175	237270.17	-0.048263073	-0.015999675	8
1038.1938	2.8881633	241102.42	-0.048989356	-0.016471148	8
1039.1938	2.8989816	245439.94	-0.049569607	-0.016919971	8
1040.1938	2.9081423	249482.09	-0.050225854	-0.017383099	8
1041.1938	2.9193585	253824.14	-0.050815046	-0.017869771	8
1042.1938	2.9287152	257711.36	-0.051393211	-0.018431842	8
1043.1938	2.9376562	261709.23	-0.05209595	-0.01894474	8
1044.1938	2.9479516	265890.59	-0.05276531	-0.019325614	8
1045.1938	2.9577775	269919.59	-0.053480268	-0.01992017	8
1046.1938	2.9672174	273853.41	-0.05410403	-0.020512938	8
1047.1938	2.9780595	277664.06	-0.054910779	-0.020869076	8
1048.1938	2.9882598	281801.69	-0.055474043	-0.021429658	8
1049.1938	2.9975038	285696.94	-0.05625844	-0.021929145	8
1050.1938	3.0082982	289636.81	-0.056906641	-0.022466183	8
1051.1938	3.0195498	293279	-0.057602525	-0.022928715	8
1052.1938	3.0286214	297024.03	-0.058290362	-0.023451149	8
1053.1938	3.0385723	301047.25	-0.05902648	-0.023846626	8
1054.1938	3.0477805	304544.63	-0.059787035	-0.024312735	8
1055.1938	3.0579572	308428.59	-0.060554147	-0.024834573	8
1056.1938	3.0688941	312267.88	-0.061253309	-0.025447607	8
1057.1938	3.0772529	315651	-0.061918497	-0.025759935	8
1058.1938	3.0873165	319271.5	-0.062715709	-0.026352108	8
1059.1938	3.0969882	322998.31	-0.063528717	-0.026917458	8
1060.1938	3.1075389	326389.72	-0.06415695	-0.027359426	8
1061.1938	3.1185591	329510.91	-0.064925253	-0.027960241	8
1062.1938	3.1276307	333144	-0.065645874	-0.028527379	8
1063.1938	3.1382825	336330.13	-0.066528916	-0.02900213	8
